Title,Summary,Latitude,Longitude,Cleaned Summary,Category,Mentioned Landmarks,Best Season,Weather Dependency
Aguirre State Forest,"TheAguirre State Forest(inSpanish:Bosque Estatal de Aguirre) is a 2,393-acre (9.68 km2) nature reserve on the south coast ofPuerto Ricoand one of the commonwealth\'s 20state forests. It mainly consists ofmangrovecoasts, keys andfloodplainforests, and it borders theJobos Bay National Estuarine Research Reserve. The Aguirre State Forest is owned and administered byPuerto Rico. It was established in 1918 by Puerto Rico governorArthur Yagerto protect the mangrove forests areas between the municipalities ofGuayamaandSanta Isabel(Punta Petrona).[1]\n The state forest is named after the nearbyCentral Aguirre, a historic sugarcane plantation and refinery, and thebarrioofSalinasofthe same name. The forest is notable for its dense mangrove forests andsalt ponds. As such it is an ecologically diverse area that is home to 13 species of reptiles, 4 species of amphibians and 3 species of bats. At least 184 bird species can be found within the forest and the area is an important bird nesting site. Some notable bird species found here are yellow-crowned night herons (Nyctanassa violacea), mangrove rails (Rallus longirostris), yellow warblers (Setophaga petechia), and endangered birds such as yellow-shouldered blackbirds (Agelaius xanthomus).Manateescan also be observed in the lagoons located in and around the forest.\n The types of mangroves found within the state forest are white mangrove (Laguncularia racemosa), black mangrove (Avicennia germinans), red mangrove (Rhizophora mangle) and buttonwood (Conocarpus erectus).Batis maritima,Sesuvium portulacastrumandSporobolus virginicusare the main grass species found in the area, particularly around thetropical salt pondsand keys.[1]\n",17.943301,-66.1684998,"The Aguirre State Forest (in Spanish: Bosque Estatal de Aguirre) is a 2,393-acre (9.68 km2) nature reserve on the south coast of Puerto Rico and one of the commonwealth's 20 state forests. It mainly consists of mangrove coasts, keys, and floodplain forests, and it borders the Jobos Bay National Estuarine Research Reserve. The Aguirre State Forest is owned and administered by Puerto Rico. It was established in 1918 by Puerto Rico governor Arthur Yager to protect the mangrove forests areas between the municipalities of Guayama and Santa Isabel (Punta Petrona).

The state forest is named after the nearby Central Aguirre, a","Nature, Museums, Beaches","Aguirre State Forest, Puerto Rico","Summer, Spring",Yes
Aibonito barrio-pueblo,"Aibonito barrio-pueblois abarrioand the administrative center (seat) ofAibonito, a municipality of Puerto Rico. Its population in 2010 was 3,539.[3][4][5]\n As was customary in Spain, in Puerto Rico, the municipality has a barrio calledpueblowhich contains a central plaza, the municipal buildings (city hall), and a Catholic church.Fiestas patronales(patron saint festivals) are held in the central plaza every year.[6][7]\n The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. TheLaws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza\'s purpose was for ""the parties"" (celebrations, festivities) (Spanish:a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish:grandeza proporcionada al\nnúmero de vecinos). These Spanish regulations also stated that the streets nearby should be comfortable portals for passersby, protecting them from the elements: sun and rain.[6]\n\n",18.136321,-66.264175,"Aibonito barrio-pueblo is a barrio and the administrative center (seat) of Aibonito, a municipality of Puerto Rico. Its population in 2010 was 3,539. As was customary in Spain, in Puerto Rico, the municipality has a barrio called pueblo which contains a central plaza, the municipal buildings (city hall), and a Catholic church. Fiestas patronales (patron saint festivals) are held in the central plaza every year. The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. The Laws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza's purpose was for ""the parties"" (celebrations, festivities) (Spanish: a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish","Urban, Museums, Religious","Aibonito barrio-pueblo, Puerto Rico",Year-round,No
Albergue Olímpico,"TheAlbergue Olímpico Germán Rieckehoff(English:Olympic Hostel), often referred asEl Albergue, is an athletic training and recreational center located inSalinas, Puerto Ricofounded in 1985 byGermán Rieckehoff, former president of thePuerto Rico Olympic Committee. It is the most complete sports center inPuerto Ricoused by professional athletes and by the general public for health, educational, and recreational activities.[1][2]The Albergue Olímpico was also the host of the Shooting competitions for the2010 Central American and Caribbean Games.[3]\n It has a territorial expansion of 1,500 acres (6.1 km2) and has 17 sports installations, including multiple use courts,baseball, aquatic, andtenniscomplexes, gymnasiums, different sports halls, two Conference Halls and a Sports Library named afterRafael Pont Flores.[4][5][1]used for training by the different sports federations of the Puerto Rico Olympic Committee as well as individual professionals, national and international sports associations and others. The Albergue Olímpico also houses the only residential, sports-focused public school in Puerto Rico, the Escuela de la Comunidad Especializada en Deportes en el Albergue Olímpico (English: Sports-Specialized Community School in the Olympic Hostel). The Albergue also haswater parks, anaviary, abotanical garden,playgroundsand the Olympic Museum of Puerto Rico.[1]The museum houses the final resting place of the Albergue\'s founder, Germán Rieckehoff, his wife Irma, and their son,Juan, who was an equestrian athlete.\n 18\xc2\xb001\xe2\x80\xb253.22\xe2\x80\xb3N66\xc2\xb014\xe2\x80\xb213.31\xe2\x80\xb3W / 18.0314500\xc2\xb0N 66.2370306\xc2\xb0W /18.0314500; -66.2370306\n",18.03145,-66.2370306,"The Albergue Olímpico Germán Rieckehoff (English: Olympic Hostel), often referred to as El Albergue, is an athletic training and recreational center located in Salinas, Puerto Rico. It was founded in 1985 by Germán Rieckehoff, former president of the Puerto Rico Olympic Committee. It is the most complete sports center in Puerto Rico, used by professional athletes and the general public for health, educational, and recreational activities. The Albergue Olímpico was also the host of the Shooting competitions for the 2010 Central American and Caribbean Games.

It has a territorial expansion of 1,500 acres (6.1 km²) and has 17 sports installations",Unknown,"Albergue Olímpico, Puerto Rico",Unknown,No
Albizu University,"Albizu Universityis aprivate universitywith its main campus inSan Juan, Puerto Rico, a branch campus inMiami, Florida, and an additional instructional location inMayag\xc3\xbcez, Puerto Rico. It focuses on psychology, health, education, and human services.\n The university\'s history began in 1966, when a Puerto Rican psychologist and educator,Carlos Albizu Miranda, founded the Instituto Psicológico de Puerto Rico (Puerto Rico Institute of Psychology) in response to the need forculturally sensitiveprofessional training in the area ofclinical psychology. At the time, there were no graduate programs in clinical psychology in Puerto Rico.The University of Puerto Ricoand the Normal School (later known as the College of Education) included psychology as part of the core curricula as early as 1903\xe2\x80\x94but only for undergraduate studies that were heavily based on the American higher education system and its standards. Graduate-level degrees in psychology could only be obtained through schools in the United States.\n By the early 1960s, little had changed, with mental health professionals being trained abroad and then returning to their home country with the challenge of adapting what they had learned in the United States to fit the socio-cultural realities of a Hispanic community. Albizu-Miranda himself received his training atPurdue UniversityinWest Lafayette, Indiana, and incurred the same difficulties of incorporating what he had learned into the culture of the island upon returning home to Puerto Rico.\n",18.4666,-66.1138,"Albizu University is a private university with its main campus in San Juan, Puerto Rico, a branch campus in Miami, Florida, and an additional instructional location in Mayagüez, Puerto Rico. It focuses on psychology, health, education, and human services. 
The university's history began in 1966, when a Puerto Rican psychologist and educator, Carlos Albizu Miranda, founded the Instituto Psicológico de Puerto Rico (Puerto Rico Institute of Psychology) in response to the need for culturally sensitive professional training in the area of clinical psychology. At the time, there were no graduate programs in clinical psychology in Puerto Rico. The University of Puerto Rico and the Normal School (later known as the College of Education) included psychology as",Unknown,"Albizu University, Puerto Rico",Unknown,No
Ana G. Méndez University,"\n\n TheAna G. Méndez University(UAGM / AGMU) is aprivate universitysystem with its main campus inSan Juan, Puerto Ricothat participates in the Puerto Rico Space Grant Consortium.[4]\n The Ana G. Méndez University system has campuses in the following cities in Puerto Rico and mainland United States.\n",18.239647,-66.006259,"The Ana G. Méndez University (UAGM / AGMU) is a private university system with its main campus in San Juan, Puerto Rico that participates in the Puerto Rico Space Grant Consortium. The Ana G. Méndez University system has campuses in the following cities in Puerto Rico and mainland United States.",Museums,"Ana G. Méndez University, Puerto Rico",Year-round,No
Antiguo Casino de Ponce,"\n TheAntiguo Casino de Ponce(English: Old Ponce Casino), or simply theCasino de Ponce, is a historic structure, built in 1922 and located inBarrio Cuarto,Ponce, Puerto Rico. Originally built as a social club for Ponce\'s elite, it is currently used as the premierreception centerof""The Noble City of Puerto Rico"".[3]The building, designed byAgustin Camilo Gonzalezin theSecond EmpireandNeo-Rococostyles, has a French facade and tones.[4]It was listed in theNational Register of Historic Placeson 28 October 1987. It is located at the corner of Marina and Luna streets. The building has been called ""an icon of Ponce\'s architecture, history, and identity.""[5]It is owned and administered by the Ponce Municipal Government.[6]In 1936, during theGreat Depression, the Casino declared bankruptcy and shut down.[7]It subsequently had various uses: a postal office, a public health unit, tax collector\'s office, and even a temporary city hall. In 1990 it was restored by the Ponce Municipal Government,[2]and has since been used for high-ranking official municipal business. For example, it was here where the dinner to honor Prince of Asturias, His MajestyFelipe de Borbon, took place.[2]\n Ponce had three casinos before this one. The first Casino de Ponce was founded in 1862, on Calle Marina. It met at the location that was later (in 1911) used byRosendo Matienzo Cintronas his law office.[8]The organization stopped meeting due to political quarrels between the two political factions in its membership representing groups for and against the government of Spanish General Sanz, but it reformed on 19 July 1876.[8]This second Casino de Ponce was located on the second floor of the property owned by Don Carlos Cabrera Martinez, one of the distinguished members of the Ponce high society. Their meeting location was on an elegant structure at the northeast corner of Calle Marina and Calle Cristina, facingPlaza Las Delicias. The third Casino de Ponce reformed on 29 June 1897.[8]It met next toTeatro La Perla, on the east side of Calle Mayor, between Calle Isabel and Calle Cristina, immediately north of the theater.[9]It moved 25 years later, in 1922, to the pompous locale at the southeast corner of Calle Marina and Calle Luna, that is the subject of this article.\n",18.010082,-66.613368,"The Antiguo Casino de Ponce (English: Old Ponce Casino), or simply the Casino de Ponce, is a historic structure built in 1922 and located in Barrio Cuarto, Ponce, Puerto Rico. Originally built as a social club for Ponce's elite, it is currently used as the premier reception center of ""The Noble City of Puerto Rico"". The building, designed by Agustin Camilo Gonzalez in the Second Empire and Neo-Rococo styles, has a French facade and tones. It was listed in the National Register of Historic Places on 28 October 1987. It is located at the corner of Marina and Luna streets. The building has been called ""an icon of Ponce's architecture, history","Urban, Museums, Historical","Antiguo Casino de Ponce, Puerto Rico",Year-round,No
Antiguo Cuartel Militar Español de Ponce,"\n TheAntiguo Cuartel Militar Español de Ponceor""El Castillo""(English:Old Spanish Military Headquarters in Ponceor""The Castle"") is the only structure directly related to the events of the land defense ofPuerto Ricoduring the1898 American invasionof the Island.[2]The historic building dates from 1894[a]and is located on Calle Castillo inPonce, Puerto Rico, inthe city\'s historic district. The structure was listed on the U.S.National Register of Historic Placeson 14 May 1987.\n ""El Castillo"", as this building is commonly known, was built in 1894 by the Spanish Royal Corps of Engineers as general headquarters for theSpanish militarygarrison stationed in Ponce. Since 1898, when Puerto Rico became a possession of theUnited States, this structure has served various purposes, first ascourthouseand later as districtjailhouse. It was being used as a district jail house in 1987.[3]In the late 1980s, it ceased to be used as a district jail, was reconditioned, and in 1992 it was inaugurated as the headquarters of the Ponce School of Fine Arts, which is its role.\n",18.015201,-66.608439,"The Antiguo Cuartel Militar Español de Ponce or ""El Castillo"" (English: Old Spanish Military Headquarters in Ponce or ""The Castle"") is the only structure directly related to the events of the land defense of Puerto Rico during the 1898 American invasion of the Island. The historic building dates from 1894 and is located on Calle Castillo in Ponce, Puerto Rico, in the city's historic district. The structure was listed on the U.S. National Register of Historic Places on 14 May 1987.

""El Castillo"", as this building is commonly known, was built in 1894 by the Spanish Royal Corps of Engineers as the general headquarters for the Spanish military garrison stationed in Ponce. Since 1898, when Puerto Rico became a possession of the United States, this structure has served various purposes, first as a courthouse and later as a district jailhouse. It was being used as a district jailhouse in 1987.","Urban, Museums, Historical, Beaches","Antiguo Cuartel Militar Español de Ponce, Puerto Rico","Summer, Spring",Yes
Antiguo Hospital Militar Español de Ponce,"\n TheAntiguo Hospital Militar Español de Ponce(English:Old Spanish Military Hospital in Ponce) is a historic building inPonce, Puerto Rico, inthe city\'s historic district. The building dates from 1896 or 1897. It was designed by the Spanish Royal Corps of Engineers. The architecture consists of 19thNeoclassical architecturestyle. The building is of architectural significance since it is the only one-story building of this style remaining in the city of Ponce and one of the best examples on the Island.[2]Completed in 1897, the year before theSpanish\xe2\x80\x93American Warof 1898, this building was the last major construction undergone by the Spanish Government in the Americas.[3]From 1905 to the mid 1970s the structure served as theAsilo de Ciegos de Ponce(Ponce Blind Asylum). As of 2020 the building sits abandoned.\n The structure commonly known as theAsilo de Ciegos(Home of the Blind) was built between 1896 and 1897 to serve as hospital for the city of Ponce\'s military garrison. The Royal Spanish Engineering Corps constructed this building in the then popular neoclassic style which was common to theold San Juanarea, but was not at the time prevalent in Ponce. This building, together withEl Castillo(Ponce\'s Spanish military headquarters),Hospital Tricoche(Ponce\'s Municipal Hospital), and theCasa Alcaldíaare the only remaining buildings representative of the Spanish Crown\'s interest in other areas of the Island besides San Juan.[4]\n",18.019026,-66.614432,"The Antiguo Hospital Militar Español de Ponce (English: Old Spanish Military Hospital in Ponce) is a historic building in Ponce, Puerto Rico, in the city's historic district. The building dates from 1896 or 1897. It was designed by the Spanish Royal Corps of Engineers. The architecture consists of 19th Neoclassical architecture style. The building is of architectural significance since it is the only one-story building of this style remaining in the city of Ponce and one of the best examples on the Island. Completed in 1897, the year before the Spanish-American War of 1898, this building was the last major construction undergone by the Spanish Government in the Americas. From 1905","Urban, Historical, Beaches","Antiguo Hospital Militar Español de Ponce, Puerto Rico","Summer, Spring",Yes
Arecibo barrio-pueblo,"Arecibo barrio-pueblois abarrioanddowntownarea that serves as the administrative center (seat) ofArecibo, a municipality of Puerto Rico. Its population in 2010 was 8,488.[1][4][5][6]\n As was customary in Spain, in Puerto Rico, the municipality has a barrio calledpueblowhich contains a central plaza, the municipal buildings (city hall), and a Catholic church.Fiestas patronales(patron saint festivals) are held in the central plaza every year.[7][8]\n The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. TheLaws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza\'s purpose was for ""the parties"" (celebrations, festivities) (Spanish:a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish:grandeza proporcionada al\nnúmero de vecinos). These Spanish regulations also stated that the streets nearby should be comfortable portals for passersby, protecting them from the elements: sun and rain.[7]\n",18.473129,-66.72022,"Arecibo barrio-pueblo is a barrio and downtown area that serves as the administrative center (seat) of Arecibo, a municipality of Puerto Rico. Its population in 2010 was 8,488. As was customary in Spain, in Puerto Rico, the municipality has a barrio called pueblo which contains a central plaza, the municipal buildings (city hall), and a Catholic church. Fiestas patronales (patron saint festivals) are held in the central plaza every year. The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. The Laws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza's purpose was for ""the parties"" (celebrations, festivities) (Spanish: a propósito para las fiestas), and that the square should be proportionally large enough for the number of","Urban, Museums, Religious","Arecibo barrio-pueblo, Puerto Rico",Year-round,No
Arecibo Light,"Arecibo Lighthouse & Historical Park(Spanish:Faro de Arecibo) is a historic lighthouse located in the city ofArecibo, Puerto Rico. It is also known asLos Morrillos Lighthouseand is as a monument to Puerto Rico\'s complex history under Spanish colonial rule. Perched atop the Punta Morrillos headland since1898, this iconic lighthouse was the last constructed under Spain\'s 300-year presence on the island. Despite the collapse of the Spanish Empire following the Spanish-American war that same year, the Arecibo Lighthouse endured.\n The lighthouse was designed in the neoclassical architectural style popular during the 19th century, featuring a stately rectangular building with an attached hexagonal tower. The rectangular keeper\'s house measures 40 feet 4 inches (12.29 m) wide by 84 feet 2 inches (25.65 m) long. The hexagonal tower is topped by a dome made of bronze that encases the working lantern room.\n The original lighting apparatus was a Fresnel lens of the third order, able to project a beam of light with a radius of 18 miles to warn approaching ships. In 1931, the lighthouse was modernized and converted to electric power. Today, the lantern houses a 190mm lens that emits a bright white flash repeating every five seconds.\n",18.48196556,-66.69870417,"Arecibo Lighthouse & Historical Park (Spanish: Faro de Arecibo) is a historic lighthouse located in the city of Arecibo, Puerto Rico. It is also known as Los Morrillos Lighthouse and serves as a monument to Puerto Rico's complex history under Spanish colonial rule. Perched atop the Punta Morrillos headland since 1898, this iconic lighthouse was the last constructed under Spain's 300-year presence on the island. Despite the collapse of the Spanish Empire following the Spanish-American war that same year, the Arecibo Lighthouse endured. The lighthouse was designed in the neoclassical architectural style popular during the 19th century, featuring a stately rectangular building with an attached hexagonal tower. The rectangular keeper's house measures 40 feet 4 inches (12.29 m) wide by 84 feet 2 inches (25.65 m) long. The hexagonal tower is topped by a dome made of","Nature, Urban, Historical, Beaches","Arecibo Light, Puerto Rico","Summer, Spring",Yes
Arecibo Observatory,"\n TheArecibo Observatory, also known as theNational Astronomy and Ionosphere Center(NAIC) and formerly known as theArecibo Ionosphere Observatory, is anobservatoryinBarrio Esperanza,Arecibo, Puerto Ricoowned by the USNational Science Foundation(NSF).\n The observatory\'s main instrument was theArecibo Telescope, a 305 m (1,000 ft)spherical reflectordishbuilt into a naturalsinkhole, with a cable-mount steerable receiver and severalradartransmitters for emitting signals mounted 150 m (492 ft) above the dish. Completed in 1963, it was the world\'s largest single-aperture telescope for 53 years, surpassed in July 2016 by theFive-hundred-meter Aperture Spherical Telescope(FAST) in China. Following two breaks in cables supporting the receiver platform in mid-2020, the NSF decommissioned the telescope. A full collapse of the telescope occurred on December 1, 2020, before either repairs or controlled demolition could be conducted. In 2022, the NSF announced the telescope will not be rebuilt, with an educational facility to be established on the site.\n",18.34417,-66.75278,"The Arecibo Observatory, also known as the National Astronomy and Ionosphere Center (NAIC) and formerly known as the Arecibo Ionosphere Observatory, is an observatory in Barrio Esperanza, Arecibo, Puerto Rico owned by the US National Science Foundation (NSF).

The observatory's main instrument was the Arecibo Telescope, a 305 m (1,000 ft) spherical reflector dish built into a natural sinkhole, with a cable-mount steerable receiver and several radar transmitters for emitting signals mounted 150 m (492 ft) above the dish. Completed in 1963, it was the world's largest single-aperture telescope for 53 years, surpassed in July 2016 by the Five-hundred-meter Aperture Spherical Telescope (FAST) in China. Following two breaks in cables supporting the receiver platform in mid-2020, the NSF decommissioned the telescope. A full collapse of the telescope occurred on December 1,",Museums,"Arecibo Observatory, Arecibo Telescope, Puerto Rico",Year-round,No
Arecibo Telescope,"TheArecibo Telescopewas a 305 m (1,000 ft)spherical reflectorradio telescopebuilt into a naturalsinkholeat theArecibo Observatorylocated nearArecibo, Puerto Rico. A cable-mount steerablereceiverand severalradartransmitters for emitting signals were mounted 150 m (492 ft) above thedish. Completed in November 1963, the Arecibo Telescope was the world\'s largest single-aperture telescope for 53 years, until it was surpassed in July 2016 by theFive-hundred-meter Aperture Spherical Telescope(FAST) inGuizhou,China.\n The Arecibo Telescope was primarily used for research inradio astronomy,atmospheric science, andradar astronomy, as well as for programs thatsearch for extraterrestrial intelligence(SETI). Scientists wanting to use the observatory submitted proposals that were evaluated by independent scientific referees.NASAalso used the telescope fornear-Earth object detection programs. The observatory, funded primarily by theNational Science Foundation(NSF) with partial support from NASA, was managed byCornell Universityfrom its completion in 1963 until 2011, after which it was transferred to a partnership led bySRI International. In 2018, a consortium led by theUniversity of Central Floridaassumed operation of the facility.\n The telescope\'s unique and futuristic design led to several appearances in film, gaming and television productions, such as for the climactic fight scene in theJames BondfilmGoldenEye(1995). It is one of the 116 pictures included in theVoyager Golden Record. It has been listed on the USNational Register of Historic Placessince 2008.[1][2]The telescope was named anIEEE Milestonein 2001.[3]\n",18.3442,-66.7528,"The Arecibo Telescope was a 305 m (1,000 ft) spherical reflector radio telescope built into a natural sinkhole at the Arecibo Observatory located near Arecibo, Puerto Rico. A cable-mount steerable receiver and several radar transmitters for emitting signals were mounted 150 m (492 ft) above the dish. Completed in November 1963, the Arecibo Telescope was the world's largest single-aperture telescope for 53 years, until it was surpassed in July 2016 by the Five-hundred-meter Aperture Spherical Telescope (FAST) in Guizhou, China. The Arecibo Telescope was primarily used for research in radio astronomy, atmospheric science, and radar astronomy, as well as for",Museums,"Arecibo Observatory, Arecibo Telescope, Puerto Rico",Year-round,No
